OBJECTID,NAME,CLASS,POP,INCORPDATE,ANCSA,Labels,Locator,Community_,GlobalID,created_us,created_da,last_edite,last_edi_1,Story_Map_
"247",Koliganek,Unincorporated,"194","0",Y,Koliganek,M-7,"Koliganek, M-7",d329484d-c4bc-4d04-ad9d-30aed41d2750,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"248",Igiugig,Unincorporated,"46","0",Y,Igiugig,N-7,"Igiugig, N-7",873c16af-3b7a-48fb-a4f5-3a761655e9ec,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"249",Iliamna,Unincorporated,"103","0",Y,Iliamna,N-7,"Iliamna, N-7",b1c648f6-afe1-4cec-9433-2defd67a1c83,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"250",Port Alsworth,Unincorporated,"67","0",N,Port Alsworth,N-6,"Port Alsworth, N-6",07962f3f-e0dd-4005-9068-b92896a74cae,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"251",Newhalen,Second Class City,"177","1971",Y,Newhalen,N-7,"Newhalen, N-7",8554ade1-6760-4ef3-8e8e-0d453e382da4,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"252",Levelock,Unincorporated,"115","0",Y,Levelock,M-7,"Levelock, M-7",30548598-b134-472d-ac6a-a2b20ea49420,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"253",South Naknek,Unincorporated,"149","0",Y,South Naknek,M-7,"South Naknek, M-7",863bdcae-5511-48a2-b0bb-50cda9fa7171,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"254",Goodnews Bay,Second Class City,"263","1970",Y,Goodnews Bay,K-7,"Goodnews Bay, K-7",a7c22c3f-5c42-4b49-aeab-388efd804fbe,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"255",Platinum,Second Class City,"41","1975",Y,Platinum,K-7,"Platinum, K-7",1fcf9089-3271-47ee-ae28-1a979e63dae9,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"256",Togiak,Second Class City,"762","1969",Y,Togiak,K-7,"Togiak, K-7",9d77f84c-6147-4b53-9405-d8f1a58c3cfe,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
